flying
swimming
dancing
sleeping
melting
frozen
burning
glowing
giant
tiny
invisible
broken
twisted
ancient
mechanical
magical
haunted
floating
spinning
crumbling
exploding
laughing
crying
angry
peaceful
mysterious
hidden
growing
falling
fighting
cooking
building
painting
reading
running
jumping
singing
dreaming
howling
climbing
digging
whispering
screaming
charging
retreating
searching
watching
guarding
attacking
defending
transforming
vanishing
drifting
sinking
rising
stretching
collapsing
reflecting
hiding
chasing
escaping
leading
following
protecting
healing
glittering
rusting
blooming
withering
raging
smiling
frowning
staring
sneaking
marching
leaping
soaring
diving
crawling
wandering
shaking
freezing
melting
rotating
orbiting
